id,compañia,tarifa,tp_punta_euros/kwh/dia,tp_valle_euros/kwh/dia,peaje_tran_dist_pot_valle,peaje_tran_dist_pot_punta,peaje_tran_dist_ener_valle,peaje_tran_dist_ener_llano,peaje_tran_dist_ener_punta,termino_consumo_euros/kwh/hora,tc_valle_euros/kwh/hora,tc_llano_euros/kwh/hora,tc_punta_euros/kwh/hora,tc_8h_euros/kwh/hora,tc_16h_euros/kwh/hora,mercado,tipo,otros,alquiler_equipo_euros/dia,impuesto_actual,bono_social_euro/dia
74,Fenie Energia,NUESTRO MEJOR PRECIO kWh 2.0TD,"0,1170100","0,0337700","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,081376","0,107137","0,169303",,,Libre,TRAMOS,,"0,026557","5,11",
75,Pepe Energy,Variable,"0,0695670","0,0807000","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,148200","0,181700","0,233500",,,Libre,TRAMOS,,"0,026557","5,11",
76,Aldro,Tendencia Luz,"0,0694000","0,0026000","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,080000","0,114000","0,168000",,,Libre,TRAMOS,,"0,026557","5,11",
77,Gana Energia,Precio de Mercado,"0,0694000","0,0026000","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,080000","0,114000","0,168000",,,Libre,TRAMOS,,"0,026557","5,11",
78,CHC Energia,Plan Confianza Base,"0,1628350","0,1628350","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,175736","0,175736","0,232736",,,Libre,TRAMOS,,"0,026557","5,11",
79,CatGas Energia,2.0TD,"0,0895100","0,0287671","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,115065","0,141355","0,19233",,,Libre,TRAMOS,,"0,026557","5,11",
80,Integra Energia,2.0TD DH,"0,1300000","0,1300000","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,115065","0,141355","0,19233",,,Libre,TRAMOS,,"0,026557","5,11",
81,GoiEner,2.0TD,"0,0750456","0,0081338","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,181588","0,217756","0,275113",,,Libre,TRAMOS,,"0,026557","5,11",
82,Bassols Energia,Luz a Precio de Coste,"0,0695660","0,0026540","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,114175","0,152696","0,203805",,,Libre,TRAMOS,,"0,026557","5,11",
83,Bassols Energia,Hogar Ahorro,"0,0890360","0,0193430","0,000527","0,0081915","0,002195","0,008779","0,043893",,"0,129302","0,154889","0,204944",,,Libre,TRAMOS,,"0,026557","5,11",
