id;compania;tarifa;tp_punta_euros/kwh/dia;tp_valle_euros/kwh/dia;peaje_tran_dist_pot_punta;peaje_tran_dist_pot_valle;peaje_ener_valle_tdc;peaje_ener_llano_tdc;peaje_ener_punta_tdc;termino_consumo_euros/kwh/hora;tc_valle_euros/kwh/hora;tc_llano_euros/kwh/hora;tc_punta_euros/kwh/hora;tc_8h_euros/kwh/hora;tc_16h_euros/kwh/hora;mercado;tipo;otros;alquiler_equipo_euros/dia;impuesto_actual;bono_social_euro/dia;margen_euros/kWh/dia
27;Fenie Energia;PRECIO MERCADO 2.0TD;0.069566;0.002654;0.0081915;0.000527;0.002752;0.027963;0.076974;0.149455;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
28;Disa;Alisios;0.08;0.03;0.0081915;0.000527;0.002752;0.027963;0.076974;0.12;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
29;Pepe Energy;Fija;0.069567;0.0807;0.0081915;0.000527;0.002752;0.027963;0.076974;0.168;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
30;Aldro;Facil Luz;0.086749;0.05;0.0081915;0.000527;0.002752;0.027963;0.076974;0.119;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
31;Gana Energia;24 Horas;0.123;0.05;0.0081915;0.000527;0.002752;0.027963;0.076974;0.119;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
32;CHC Energia;Plan Ilumina;0.081417;0.081417;0.0081915;0.000527;0.002752;0.027963;0.076974;0.149736;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
33;CHC Energia;Plan Ilumina Promo;0.081417;0.081417;0.0081915;0.000527;0.002752;0.027963;0.076974;0.118958;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
34;CHC Energia;Plan Ilumina Duo;0.05402;0.05402;0.0081915;0.000527;0.002752;0.027963;0.076974;0.195736;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
35;CHC Energia;Plan Ilumina Duo Promo;0.075527;0.008654;0.0081915;0.000527;0.002752;0.027963;0.076974;0.149736;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
36;CatGas Energia;2.0TD L;0.08951;0.0287671;0.0081915;0.000527;0.002752;0.027963;0.076974;0.132;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
37;Integra Energia;2.0TD;0.069566;0.02954;0.0081915;0.000527;0.002752;0.027963;0.076974;0.09;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
38;Bassols Energia;Hogar 24h;0.089036;0.019343;0.0081915;0.000527;0.002752;0.027963;0.076974;0.159081;0;0;0;0;0;Libre;FIJO;0;0.026557;5.11;0;
